Dex No,Name,Base Name,Type 1,Type 2,BST,HP,Attack,Defense,Sp. Attack,Sp. Defense,Speed,Poke-Images
606,Beheeyem,Beheeyem,PSYCHIC,-,485,75,75,75,125,95,40,https://github.com/Ajeet58698/Pokemon-images/blob/main/Beedrill.png?raw=true
374,Beldum,Beldum,STEEL,PSYCHIC,300,40,55,80,35,60,30,https://github.com/Ajeet58698/Pokemon-images/blob/main/Beheeyem.png?raw=true
939,Bellibolt,Bellibolt,ELECTRIC,-,495,109,64,91,103,83,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Beldum.png?raw=true
182,Bellossom,Bellossom,GRASS,-,490,75,80,95,90,100,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bellibolt.png?raw=true
69,Bellsprout,Bellsprout,GRASS,POISON,300,50,75,35,70,30,40,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bellossom.png?raw=true
712,Bergmite,Bergmite,ICE,-,304,55,69,85,32,35,28,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bellsprout.png?raw=true
760,Bewear,Bewear,NORMAL,FIGHTING,500,120,125,80,55,60,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bergmite.png?raw=true
400,Bibarel,Bibarel,NORMAL,WATER,410,79,85,60,55,60,71,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bewear.png?raw=true
399,Bidoof,Bidoof,NORMAL,-,250,59,45,40,35,40,31,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bibarel.png?raw=true
688,Binacle,Binacle,ROCK,WATER,306,42,52,67,39,56,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bidoof.png?raw=true
625,Bisharp,Bisharp,DARK,STEEL,490,65,125,100,60,70,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Binacle.png?raw=true
806,Blacephalon,Blacephalon,FIRE,GHOST,570,53,127,53,151,79,107,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bisharp.png?raw=true
646,Black Kyurem,Kyurem,DRAGON,ICE,700,125,170,100,120,90,95,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blacephalon.png?raw=true
681,Blade Forme,Aegislash,STEEL,GHOST,500,60,140,50,140,50,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Kyurem.png?raw=true
9,Blastoise,Blastoise,WATER,-,530,79,83,100,85,105,78,https://github.com/Ajeet58698/Pokemon-images/blob/main/Aegislash.png?raw=true
128,Blaze Breed,Tauros,FIGHTING,FIRE,490,75,110,105,30,70,100,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blastoise.png?raw=true
257,Blaziken,Blaziken,FIRE,FIGHTING,530,80,120,70,110,70,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Tauros.png?raw=true
824,Blipbug,Blipbug,BUG,-,180,25,20,20,25,45,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blaziken.png?raw=true
242,Blissey,Blissey,NORMAL,-,540,255,10,10,75,135,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blipbug.png?raw=true
522,Blitzle,Blitzle,ELECTRIC,-,295,45,60,32,50,32,76,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blissey.png?raw=true
931,Blue Plumage,Squawkabilly,NORMAL,FLYING,417,82,96,51,45,51,92,https://github.com/Ajeet58698/Pokemon-images/blob/main/Blitzle.png?raw=true
550,Blue-Striped Form,Basculin,WATER,-,460,70,92,65,80,55,98,https://github.com/Ajeet58698/Pokemon-images/blob/main/Squawkabilly.png?raw=true
525,Boldore,Boldore,ROCK,-,390,70,105,105,50,40,20,https://github.com/Ajeet58698/Pokemon-images/blob/main/Basculin.png?raw=true
836,Boltund,Boltund,ELECTRIC,-,490,69,90,60,90,60,121,https://github.com/Ajeet58698/Pokemon-images/blob/main/Boldore.png?raw=true
962,Bombirdier,Bombirdier,FLYING,DARK,485,70,103,85,60,85,82,https://github.com/Ajeet58698/Pokemon-images/blob/main/Boltund.png?raw=true
438,Bonsly,Bonsly,ROCK,-,290,50,80,95,10,45,10,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bombirdier.png?raw=true
626,Bouffalant,Bouffalant,NORMAL,-,490,95,110,95,40,95,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bonsly.png?raw=true
761,Bounsweet,Bounsweet,GRASS,-,210,42,30,38,30,38,32,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bouffalant.png?raw=true
654,Braixen,Braixen,FIRE,-,409,59,59,58,90,70,73,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bounsweet.png?raw=true
947,Brambleghast,Brambleghast,GRASS,GHOST,480,55,115,70,80,70,90,https://github.com/Ajeet58698/Pokemon-images/blob/main/Braixen.png?raw=true
946,Bramblin,Bramblin,GRASS,GHOST,275,40,65,30,45,35,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Brambleghast.png?raw=true
628,Braviary,Braviary,NORMAL,FLYING,510,100,123,75,57,75,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bramblin.png?raw=true
286,Breloom,Breloom,GRASS,FIGHTING,460,60,130,80,60,60,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Braviary.png?raw=true
729,Brionne,Brionne,WATER,-,420,60,69,69,91,81,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Breloom.png?raw=true
437,Bronzong,Bronzong,STEEL,PSYCHIC,500,67,89,116,79,116,33,https://github.com/Ajeet58698/Pokemon-images/blob/main/Brionne.png?raw=true
436,Bronzor,Bronzor,STEEL,PSYCHIC,300,57,24,86,24,86,23,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bronzong.png?raw=true
986,Brute Bonnet,Brute Bonnet,GRASS,DARK,570,111,127,99,79,99,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bronzor.png?raw=true
779,Bruxish,Bruxish,WATER,PSYCHIC,475,68,105,70,70,70,92,https://github.com/Ajeet58698/Pokemon-images/blob/main/Brute Bonnet.png?raw=true
406,Budew,Budew,GRASS,POISON,280,40,30,35,50,70,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bruxish.png?raw=true
418,Buizel,Buizel,WATER,-,330,55,65,35,60,30,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Budew.png?raw=true
1,Bulbasaur,Bulbasaur,GRASS,POISON,318,45,49,49,65,65,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Buizel.png?raw=true
427,Buneary,Buneary,NORMAL,-,350,55,66,44,44,56,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bulbasaur.png?raw=true
659,Bunnelby,Bunnelby,NORMAL,-,237,38,36,38,32,36,57,https://github.com/Ajeet58698/Pokemon-images/blob/main/Buneary.png?raw=true
12,Butterfree,Butterfree,BUG,FLYING,395,60,45,50,90,80,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Bunnelby.png?raw=true
794,Buzzwole,Buzzwole,BUG,FIGHTING,570,107,139,139,53,53,79,https://github.com/Ajeet58698/Pokemon-images/blob/main/Butterfree.png?raw=true
331,Cacnea,Cacnea,GRASS,-,335,50,85,40,85,40,35,https://github.com/Ajeet58698/Pokemon-images/blob/main/Buzzwole.png?raw=true
332,Cacturne,Cacturne,GRASS,DARK,475,70,115,60,115,60,55,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cacnea.png?raw=true
898,Calyrex,Calyrex,PSYCHIC,GRASS,500,100,80,80,80,80,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cacturne.png?raw=true
323,Camerupt,Camerupt,FIRE,GROUND,460,70,100,70,105,75,40,https://github.com/Ajeet58698/Pokemon-images/blob/main/Calyrex.png?raw=true
951,Capsakid,Capsakid,GRASS,-,304,50,62,40,62,40,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Camerupt.png?raw=true
703,Carbink,Carbink,ROCK,FAIRY,500,50,50,150,50,150,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Capsakid.png?raw=true
838,Carkol,Carkol,ROCK,FIRE,410,80,60,90,60,70,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Carbink.png?raw=true
455,Carnivine,Carnivine,GRASS,-,454,74,100,72,90,72,46,https://github.com/Ajeet58698/Pokemon-images/blob/main/Carkol.png?raw=true
565,Carracosta,Carracosta,WATER,ROCK,495,74,108,133,83,65,32,https://github.com/Ajeet58698/Pokemon-images/blob/main/Carnivine.png?raw=true
318,Carvanha,Carvanha,WATER,DARK,305,45,90,20,65,20,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Carracosta.png?raw=true
268,Cascoon,Cascoon,BUG,-,205,50,35,55,25,25,15,https://github.com/Ajeet58698/Pokemon-images/blob/main/Carvanha.png?raw=true
351,Castform,Castform,NORMAL,-,420,70,70,70,70,70,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cascoon.png?raw=true
10,Caterpie,Caterpie,BUG,-,195,45,30,35,20,20,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Castform.png?raw=true
251,Celebi,Celebi,PSYCHIC,GRASS,600,100,100,100,100,100,100,https://github.com/Ajeet58698/Pokemon-images/blob/main/Caterpie.png?raw=true
797,Celesteela,Celesteela,STEEL,FLYING,570,97,101,103,107,101,61,https://github.com/Ajeet58698/Pokemon-images/blob/main/Celebi.png?raw=true
851,Centiskorch,Centiskorch,FIRE,BUG,525,100,115,65,90,90,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Celesteela.png?raw=true
937,Ceruledge,Ceruledge,FIRE,GHOST,525,75,125,80,60,100,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Centiskorch.png?raw=true
975,Cetitan,Cetitan,ICE,-,521,170,113,65,45,55,73,https://github.com/Ajeet58698/Pokemon-images/blob/main/Ceruledge.png?raw=true
974,Cetoddle,Cetoddle,ICE,-,334,108,68,45,30,40,43,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cetitan.png?raw=true
609,Chandelure,Chandelure,GHOST,FIRE,520,60,55,90,145,90,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cetoddle.png?raw=true
113,Chansey,Chansey,NORMAL,-,450,250,5,5,35,105,50,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chandelure.png?raw=true
935,Charcadet,Charcadet,FIRE,-,255,40,50,40,50,40,35,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chansey.png?raw=true
6,Charizard,Charizard,FIRE,FLYING,534,78,84,78,109,85,100,https://github.com/Ajeet58698/Pokemon-images/blob/main/Charcadet.png?raw=true
737,Charjabug,Charjabug,BUG,ELECTRIC,400,57,82,95,55,75,36,https://github.com/Ajeet58698/Pokemon-images/blob/main/Charizard.png?raw=true
4,Charmander,Charmander,FIRE,-,309,39,52,43,60,50,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Charjabug.png?raw=true
5,Charmeleon,Charmeleon,FIRE,-,405,58,64,58,80,65,80,https://github.com/Ajeet58698/Pokemon-images/blob/main/Charmander.png?raw=true
441,Chatot,Chatot,NORMAL,FLYING,411,76,65,45,92,42,91,https://github.com/Ajeet58698/Pokemon-images/blob/main/Charmeleon.png?raw=true
421,Cherrim,Cherrim,GRASS,-,450,70,60,70,87,78,85,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chatot.png?raw=true
420,Cherubi,Cherubi,GRASS,-,275,45,35,45,62,53,35,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cherrim.png?raw=true
652,Chesnaught,Chesnaught,GRASS,FIGHTING,530,88,107,122,74,75,64,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cherubi.png?raw=true
650,Chespin,Chespin,GRASS,-,313,56,61,65,48,45,38,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chesnaught.png?raw=true
999,Chest Form,Gimmighoul,GHOST,-,300,45,30,70,75,70,10,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chespin.png?raw=true
833,Chewtle,Chewtle,WATER,-,284,50,64,50,38,38,44,https://github.com/Ajeet58698/Pokemon-images/blob/main/Gimmighoul.png?raw=true
1002,Chien-Pao,Chien-Pao,DARK,ICE,570,80,120,80,90,65,135,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chewtle.png?raw=true
152,Chikorita,Chikorita,GRASS,-,318,45,49,65,49,65,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chien-Pao.png?raw=true
390,Chimchar,Chimchar,FIRE,-,309,44,58,44,58,44,61,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chikorita.png?raw=true
358,Chimecho,Chimecho,PSYCHIC,-,455,75,50,80,95,90,65,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chimchar.png?raw=true
170,Chinchou,Chinchou,WATER,ELECTRIC,330,75,38,38,56,56,67,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chimecho.png?raw=true
433,Chingling,Chingling,PSYCHIC,-,285,45,30,50,65,50,45,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chinchou.png?raw=true
1004,Chi-Yu,Chi-Yu,DARK,FIRE,570,55,80,80,135,120,100,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chingling.png?raw=true
573,Cinccino,Cinccino,NORMAL,-,470,75,95,60,65,60,115,https://github.com/Ajeet58698/Pokemon-images/blob/main/Chi-Yu.png?raw=true
815,Cinderace,Cinderace,FIRE,-,530,80,116,75,65,75,119,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cinccino.png?raw=true
366,Clamperl,Clamperl,WATER,-,345,35,64,85,74,55,32,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cinderace.png?raw=true
692,Clauncher,Clauncher,WATER,-,330,50,53,62,58,63,44,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clamperl.png?raw=true
693,Clawitzer,Clawitzer,WATER,-,500,71,73,88,120,89,59,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clauncher.png?raw=true
344,Claydol,Claydol,GROUND,PSYCHIC,500,60,70,105,70,120,75,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clawitzer.png?raw=true
36,Clefable,Clefable,FAIRY,-,483,95,70,73,95,90,60,https://github.com/Ajeet58698/Pokemon-images/blob/main/Claydol.png?raw=true
35,Clefairy,Clefairy,FAIRY,-,323,70,45,48,60,65,35,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clefable.png?raw=true
173,Cleffa,Cleffa,FAIRY,-,218,50,25,28,45,55,15,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clefairy.png?raw=true
852,Clobbopus,Clobbopus,FIGHTING,-,310,50,68,60,50,50,32,https://github.com/Ajeet58698/Pokemon-images/blob/main/Cleffa.png?raw=true
980,Clodsire,Clodsire,POISON,GROUND,430,130,75,60,45,100,20,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clobbopus.png?raw=true
91,Cloyster,Cloyster,WATER,ICE,525,50,95,180,85,45,70,https://github.com/Ajeet58698/Pokemon-images/blob/main/Clodsire.png?raw=true
